"fips" "scc" "pollutant" "emissions" "type" "year" "data.category" "short.name" "ei.sector" "option.group" "option.set" "scc.level.one" "scc.level.two" "scc.level.three" "scc.level.four" "map.to" "last.inventory.year" "created_date" "revised_date" "usage.notes"
"72149" "2201001150" "PM25-PRI" 0.017198 "ON-ROAD" 2008 "Onroad" "Highway Veh - Gasoline - Light Duty Vehicles (LDGV) - Rural Minor Arterial: Total" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Minor Arterial: Total" NA NA "" "" ""
"42083" "2103005000" "PM25-PRI" 0.12 "NONPOINT" 2005 "Nonpoint" "Stationary Fuel Comb /Commercial/Institutional /Residual Oil /Total: All Boiler Types" "Fuel Comb - Comm/Institutional - Oil" "" "" "Stationary Source Fuel Combustion" "Commercial/Institutional" "Residual Oil" "Total: All Boiler Types" NA NA "" "" ""
"49057" "2230060190" "PM25-PRI" 6.94978e-05 "ON-ROAD" 2008 "Onroad" "Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Rural Minor Collector: Total" "Mobile - On-Road Diesel Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)" "Rural Minor Collector: Total" NA NA "" "" ""
"55011" "2265004040" "PM25-PRI" 0.00200661 "NON-ROAD" 2008 "Nonroad" "Off-highway Gasoline, 4-Stroke /Lawn & Garden Equipt /Rear Engine Riding Mowers (Residential)" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Lawn and Garden Equipment" "Rear Engine Riding Mowers (Residential)" NA NA "" "12/10/1999 0:00:00" ""
"42007" "2201080170" "PM25-PRI" 0.0285541 "ON-ROAD" 2008 "Onroad" "Highway Veh - Gasoline - Motorcycles (MC) - Rural Major Collector: Total" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Motorcycles (MC)" "Rural Major Collector: Total" NA NA "" "" ""
"18057" "2201080210" "PM25-PRI" 0.000295668 "ON-ROAD" 2008 "Onroad" "Highway Veh - Gasoline - Motorcycles (MC) - Rural Local: Total" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Motorcycles (MC)" "Rural Local: Total" NA NA "" "" ""
"01101" "2265005010" "PM25-PRI" 0.000119683 "NON-ROAD" 2008 "Nonroad" "Off-highway Gasoline, 4-Stroke /Agricultural Equipt /2-Wheel Tractors" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Agricultural Equipment" "2-Wheel Tractors" NA NA "" "" ""
"47113" "2230075270" "PM25-PRI" 0.00269378 "ON-ROAD" 2008 "Onroad" "Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Urban Other Principal Arterial: Total" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Buses (School & Transit)" "Urban Other Principal Arterial: Total" NA NA "12/10/1999 0:00:00" "2/13/2002 0:00:00" ""
"42093" "220104011T" "PM25-PRI" 0.02 "ON-ROAD" 2002 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 3 & 4 - Rural Interstate: Tire Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Interstate: Tire Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"29229" "220107021B" "PM25-PRI" 0.01 "ON-ROAD" 1999 "Onroad" "Highway Veh - Gasoline - Heavy Duty Veh 2B thru 8B & Buses (HDGV) - Rural Local: Brake Wear" "Mobile - On-Road Gasoline Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Local: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"06053" "220102017X" "PM25-PRI" 2.35 "ON-ROAD" 2005 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 1 & 2 - Rural Major Collector: Exhaust" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Major Collector: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"13279" "2230073190" "PM25-PRI" 0.0963523 "ON-ROAD" 2008 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Rural Minor Collector: Total" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7" "Rural Minor Collector: Total" NA NA "12/10/1999 0:00:00" "2/13/2002 0:00:00" ""
"31179" "2270005040" "PM25-PRI" 0.000283781 "NON-ROAD" 2008 "Nonroad" "Off-highway Diesel /Agricultural Equipt /Tillers : 6 HP" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Off-highway Vehicle Diesel" "Agricultural Equipment" "Tillers : 6 HP" NA NA "" "" ""
"01037" "2302003100" "PM25-PRI" 0.4235995 "NONPOINT" 2008 "Nonpoint" "Food & Kindred Products /Commercial Cooking - Frying /Flat Griddle Frying" "Commercial Cooking" "" "" "Industrial Processes" "Food and Kindred Products: SIC 20" "Commercial Cooking - Frying" "Flat Griddle Frying" NA NA "6/6/2003 0:00:00" "2/20/2004 0:00:00" ""
"21051" "2201080330" "PM25-PRI" 0.000360711 "ON-ROAD" 2008 "Onroad" "Highway Veh - Gasoline - Motorcycles (MC) - Urban Local: Total" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Motorcycles (MC)" "Urban Local: Total" NA NA "" "" ""
"28073" "223006031T" "PM25-PRI" 0.0001090307 "ON-ROAD" 2002 "Onroad" "Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Urban Collector: Tire Wear" "Mobile - On-Road Diesel Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)" "Urban Collector: Tire Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"17177" "2103004000" "PM25-PRI" 0.15 "NONPOINT" 2005 "Nonpoint" "Stationary Fuel Comb /Commercial/Institutional /Distillate Oil /Total: Boilers and IC Engines" "Fuel Comb - Comm/Institutional - Oil" "" "" "Stationary Source Fuel Combustion" "Commercial/Institutional" "Distillate Oil" "Total: Boilers and IC Engines" NA NA "" "" ""
"47133" "2230073150" "PM25-PRI" 0.169822 "ON-ROAD" 2008 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Rural Minor Arterial: Total" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7" "Rural Minor Arterial: Total" NA NA "12/10/1999 0:00:00" "2/13/2002 0:00:00" ""
"48257" "220108019B" "PM25-PRI" 0.000521455021953429 "ON-ROAD" 2005 "Onroad" "Highway Veh - Gasoline - Motorcycles (MC) - Rural Minor Collector: Brake Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Motorcycles (MC)" "Rural Minor Collector: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"29187" "220102027B" "PM25-PRI" 0.1 "ON-ROAD" 2002 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 1 & 2 - Urban Other Principal Arterial: Brake Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Other Principal Arterial: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"40131" "30500617" "PM25-PRI" 0.7378 "POINT" 2008 "Point" "Cement Manuf (Dry Proc) /Clinker Grinding" "Industrial Processes - Cement Manuf" "" "" "Industrial Processes" "Mineral Products" "Cement Manufacturing (Dry Process)" "Clinker Grinding" NA NA "" "" ""
"49049" "2265002054" "PM25-PRI" 0.0036098171 "NON-ROAD" 2005 "Nonroad" "Off-highway Gasoline, 4-Stroke /Construction & Mining Equipt /Crushing/Processing Equipt" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Construction and Mining Equipment" "Crushing/Processing Equipment" NA NA "" "" ""
"51735" "2267003070" "PM25-PRI" 7.0735773e-06 "NON-ROAD" 2005 "Nonroad" "Off-highway LPG /Industrial Equipt /Terminal Tractors" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Industrial Equipment" "Terminal Tractors" NA NA "12/10/1999 0:00:00" "" ""
"22015" "2230072150" "PM25-PRI" 0.00332452 "ON-ROAD" 2008 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Rural Minor Arterial: Total" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5" "Rural Minor Arterial: Total" NA NA "12/10/1999 0:00:00" "2/13/2002 0:00:00" ""
"12077" "2230001130" "PM25-PRI" 4.4156e-05 "ON-ROAD" 2008 "Onroad" "Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Rural Other Principal Arterial: Total" "Mobile - On-Road Diesel Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Light Duty Diesel Vehicles (LDDV)" "Rural Other Principal Arterial: Total" NA NA "" "" ""
"39133" "2102011000" "PM25-PRI" 0.08 "NONPOINT" 2005 "Nonpoint" "Stationary Fuel Comb /Industrial /Kerosene /Total: All Boiler Types" "Fuel Comb - Industrial Boilers, ICEs - Oil" "" "" "Stationary Source Fuel Combustion" "Industrial" "Kerosene" "Total: All Boiler Types" NA NA "12/10/1999 0:00:00" "" ""
"27049" "30200790" "PM25-PRI" 6.50785 "POINT" 2008 "Point" "Grain Millings /Soybean: Meal Cooler" "Industrial Processes - NEC" "" "" "Industrial Processes" "Food and Agriculture" "Grain Millings" "Soybean: Meal Cooler" NA NA "" "" ""
"19153" "2201020130" "PM25-PRI" 0.19189 "ON-ROAD" 2008 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 1 & 2 - Rural Other Principal Arterial: Total" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Other Principal Arterial: Total" NA NA "" "2/13/2002 0:00:00" ""
"47001" "220108019B" "PM25-PRI" 0.00137579131114761 "ON-ROAD" 2005 "Onroad" "Highway Veh - Gasoline - Motorcycles (MC) - Rural Minor Collector: Brake Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Motorcycles (MC)" "Rural Minor Collector: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"18161" "2230074130" "PM25-PRI" 0.410423 "ON-ROAD" 2008 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Rural Other Principal Arterial: Total" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B" "Rural Other Principal Arterial: Total" NA NA "12/10/1999 0:00:00" "2/13/2002 0:00:00" ""
"47029" "2103002000" "PM25-PRI" 0 "NONPOINT" 2002 "Nonpoint" "Stationary Fuel Comb /Commercial/Institutional /Bituminous/Subbituminous Coal /Total: All Boiler Types" "Fuel Comb - Comm/Institutional - Coal" "" "" "Stationary Source Fuel Combustion" "Commercial/Institutional" "Bituminous/Subbituminous Coal" "Total: All Boiler Types" NA NA "" "" ""
"56021" "223007329B" "PM25-PRI" 0.00426283443681 "ON-ROAD" 2005 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Urban Minor Arterial: Brake Wear" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7" "Urban Minor Arterial: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"55111" "220102013T" "PM25-PRI" 0.08 "ON-ROAD" 1999 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 1 & 2 - Rural Other Principal Arterial: Tire Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Other Principal Arterial: Tire Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"41009" "2230001330" "PM25-PRI" 0.00577934 "ON-ROAD" 2008 "Onroad" "Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Urban Local: Total" "Mobile - On-Road Diesel Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Light Duty Diesel Vehicles (LDDV)" "Urban Local: Total" NA NA "" "" ""
"55003" "223007433X" "PM25-PRI" 0.22 "ON-ROAD" 1999 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Urban Local: Exhaust" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B" "Urban Local: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"40101" "2270005010" "PM25-PRI" 0.000376524 "NON-ROAD" 2008 "Nonroad" "Off-highway Diesel /Agricultural Equipt /2-Wheel Tractors" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Off-highway Vehicle Diesel" "Agricultural Equipment" "2-Wheel Tractors" NA NA "" "" ""
"48201" "30400799" "PM25-PRI" 12.002 "POINT" 1999 "Point" "Secondary Metals /Steel Foundries /Other Not Classified" "Industrial Processes - Ferrous Metals" "" "" "Industrial Processes" "Secondary Metal Production" "Steel Foundries" "Other Not Classified" NA NA "" "" ""
"48101" "2801500000" "PM25-PRI" 5.51 "NONPOINT" 2005 "Nonpoint" "Agric - Crops /Field Burning - whole field set on fire /Unspecified" "Fires - Agricultural Field Burning" "" "" "Miscellaneous Area Sources" "Agriculture Production - Crops - as nonpoint" "Agricultural Field Burning - whole field set on fire" "Unspecified crop type and Burn Method" NA NA "" "4/15/2010 0:00:00" ""
"72119" "2201020290" "PM25-PRI" 0.0725312 "ON-ROAD" 2008 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 1 & 2 - Urban Minor Arterial: Total" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Minor Arterial: Total" NA NA "" "2/13/2002 0:00:00" ""
"26127" "2201070150" "PM25-PRI" 0.0390465 "ON-ROAD" 2008 "Onroad" "Highway Veh - Gasoline - Heavy Duty Veh 2B thru 8B & Buses (HDGV) - Rural Minor Arterial: Total" "Mobile - On-Road Gasoline Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Minor Arterial: Total" NA NA "" "2/13/2002 0:00:00" ""
"42075" "2270002051" "PM25-PRI" 1.71854 "NON-ROAD" 2008 "Nonroad" "Off-highway Diesel /Construction & Mining Equipt /Off-highway Trucks" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Off-highway Vehicle Diesel" "Construction and Mining Equipment" "Off-highway Trucks" NA NA "" "" ""
"17025" "220108033T" "PM25-PRI" 2.2487816636385e-05 "ON-ROAD" 2005 "Onroad" "Highway Veh - Gasoline - Motorcycles (MC) - Urban Local: Tire Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Motorcycles (MC)" "Urban Local: Tire Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"39071" "223006017X" "PM25-PRI" 0.03 "ON-ROAD" 2002 "Onroad" "Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Rural Major Collector: Exhaust" "Mobile - On-Road Diesel Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)" "Rural Major Collector: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"29033" "2270002045" "PM25-PRI" 0.0533861 "NON-ROAD" 2008 "Nonroad" "Off-highway Diesel /Construction & Mining Equipt /Cranes" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Off-highway Vehicle Diesel" "Construction and Mining Equipment" "Cranes" NA NA "" "" ""
"48193" "220104019X" "PM25-PRI" 0.00318261959128648 "ON-ROAD" 2005 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 3 & 4 - Rural Minor Collector: Exhaust" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Minor Collector: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"34021" "2267002030" "PM25-PRI" 0.0029566433 "NON-ROAD" 2005 "Nonroad" "Off-highway LPG /Construction & Mining Equipt /Trenchers" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Construction and Mining Equipment" "Trenchers" NA NA "12/10/1999 0:00:00" "" ""
"32031" "220108011B" "PM25-PRI" 0.00298529579595196 "ON-ROAD" 2005 "Onroad" "Highway Veh - Gasoline - Motorcycles (MC) - Rural Interstate: Brake Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Motorcycles (MC)" "Rural Interstate: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"22071" "2265004040" "PM25-PRI" 0.07 "NON-ROAD" 2002 "Nonroad" "Off-highway Gasoline, 4-Stroke /Lawn & Garden Equipt /Rear Engine Riding Mowers (Residential)" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Lawn and Garden Equipment" "Rear Engine Riding Mowers (Residential)" NA NA "" "12/10/1999 0:00:00" ""
"34027" "2270002072" "PM25-PRI" 10.08 "NON-ROAD" 2005 "Nonroad" "Off-highway Diesel /Construction & Mining Equipt /Skid Steer Loaders" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Off-highway Vehicle Diesel" "Construction and Mining Equipment" "Skid Steer Loaders" NA NA "" "" ""
"08097" "2265005045" "PM25-PRI" 0 "NON-ROAD" 1999 "Nonroad" "Off-highway Gasoline, 4-Stroke /Agricultural Equipt /Swathers" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Agricultural Equipment" "Swathers" NA NA "" "" ""
"42071" "2260004030" "PM25-PRI" 1.35251 "NON-ROAD" 2008 "Nonroad" "Off-highway Gasoline, 2-Stroke /Lawn & Garden Equipt /Leafblowers/Vacuums (Residential)" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 2-Stroke" "Lawn and Garden Equipment" "Leafblowers/Vacuums (Residential)" NA NA "" "12/10/1999 0:00:00" ""
"40101" "223007231X" "PM25-PRI" 0.01 "ON-ROAD" 2005 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Urban Collector: Exhaust" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5" "Urban Collector: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"06001" "20300101" "PM25-PRI" 0.000967 "POINT" 2008 "Point" "Int Comb /Comm-Inst /Distillate Oil (Diesel) /Reciprocating" "Fuel Comb - Comm/Institutional - Oil" "" "" "Internal Combustion Engines" "Commercial/Institutional" "Distillate Oil (Diesel)" "Reciprocating" NA NA "" "" ""
"48261" "2265004025" "PM25-PRI" 4.74550009954555e-06 "NON-ROAD" 2002 "Nonroad" "Off-highway Gasoline, 4-Stroke /Lawn & Garden Equipt /Trimmers/Edgers/Brush Cutters (Residential)" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Lawn and Garden Equipment" "Trimmers/Edgers/Brush Cutters (Residential)" NA NA "" "12/10/1999 0:00:00" ""
"39081" "223007321B" "PM25-PRI" 0.00820757326239 "ON-ROAD" 2005 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Rural Local: Brake Wear" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7" "Rural Local: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"26025" "2270003040" "PM25-PRI" 1.09 "NON-ROAD" 2002 "Nonroad" "Off-highway Diesel /Industrial Equipt /Other General Industrial Equipt" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Off-highway Vehicle Diesel" "Industrial Equipment" "Other General Industrial Equipment" NA NA "" "" ""
"01021" "223000111T" "PM25-PRI" 0.0007351515 "ON-ROAD" 2002 "Onroad" "Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Rural Interstate: Tire Wear" "Mobile - On-Road Diesel Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Light Duty Diesel Vehicles (LDDV)" "Rural Interstate: Tire Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"40145" "2270004066" "PM25-PRI" 0.0822477 "NON-ROAD" 2008 "Nonroad" "Off-highway Diesel /Lawn & Garden Equipt /Chippers/Stump Grinders (Commercial)" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Off-highway Vehicle Diesel" "Lawn and Garden Equipment" "Chippers/Stump Grinders (Commercial)" NA NA "12/10/1999 0:00:00" "" ""
